Fecha,IPC (%)
31/01/2014,3.6
28/02/2014,3.4
31/03/2014,2.6
30/04/2014,1.8
31/05/2014,1.4
30/06/2014,1.3
31/07/2014,1.4
31/08/2014,1.3
30/09/2014,1.4
31/10/2014,1.2
30/11/2014,1.1
31/12/2014,1.0
31/01/2015,1.1
28/02/2015,0.9
31/03/2015,1.3
30/04/2015,1.1
31/05/2015,1.0
30/06/2015,1.0
31/07/2015,1.3
31/08/2015,1.2
30/09/2015,1.2
31/10/2015,1.1
30/11/2015,2.0
31/12/2015,3.9
31/01/2016,4.1
29/02/2016,2.7
31/03/2016,3.0
30/04/2016,3.4
31/05/2016,4.2
30/06/2016,3.1
31/07/2016,2.0
31/08/2016,0.2
30/09/2016,1.1
31/10/2016,2.4
30/11/2016,1.6
31/12/2016,1.2
31/01/2017,1.3
28/02/2017,2.5
31/03/2017,2.4
30/04/2017,2.6
31/05/2017,1.3
30/06/2017,1.2
31/07/2017,1.7
31/08/2017,1.4
30/09/2017,1.9
31/10/2017,1.5
30/11/2017,1.4
31/12/2017,3.1
31/01/2018,1.8
28/02/2018,2.4
31/03/2018,2.3
30/04/2018,2.7
31/05/2018,2.1
30/06/2018,3.7
31/07/2018,3.1
31/08/2018,3.9
30/09/2018,6.5
31/10/2018,5.4
30/11/2018,3.2
31/12/2018,2.6
31/01/2019,2.9
28/02/2019,3.8
31/03/2019,4.7
30/04/2019,3.4
31/05/2019,3.1
30/06/2019,2.7
31/07/2019,2.2
31/08/2019,4.0
30/09/2019,5.9
31/10/2019,3.3
30/11/2019,4.3
31/12/2019,3.7
31/01/2020,2.3
29/02/2020,2.0
31/03/2020,3.3
30/04/2020,1.5
31/05/2020,1.5
30/06/2020,2.2
31/07/2020,1.9
31/08/2020,2.7
30/09/2020,2.8
31/10/2020,3.8
30/11/2020,3.2
31/12/2020,4.0
31/01/2021,4.0
28/02/2021,3.6
31/03/2021,4.8
30/04/2021,4.1
31/05/2021,3.3
30/06/2021,3.2
31/07/2021,3.0
31/08/2021,2.5
30/09/2021,3.5
31/10/2021,3.5
30/11/2021,2.5
31/12/2021,3.8
31/01/2022,3.9
28/02/2022,4.7
31/03/2022,6.7
30/04/2022,6.0
31/05/2022,5.1
30/06/2022,5.3
31/07/2022,7.4
31/08/2022,7.0
30/09/2022,6.2
31/10/2022,6.3
30/11/2022,4.9
31/12/2022,5.1
